score,genres
5.2,['drama']
7.9,"['drama', 'romance', 'comedy']"
5.2,"['action', 'drama', 'comedy', 'crime']"
2.9,"['drama', 'comedy']"
5.2,"['comedy', 'crime', 'drama']"
4.2,"['animation', 'action']"
5.1,"['thriller', 'drama', 'horror']"
6.8,['drama']
,['animation']
8.4,['documentation']
,['drama']
5.6,"['drama', 'romance', 'comedy']"
5.5,"['comedy', 'drama', 'thriller']"
6.9,"['comedy', 'drama']"
,['drama']
8.0,"['comedy', 'drama', 'family']"
5.3,"['comedy', 'action', 'drama', 'fantasy']"
6.4,['drama']
4.3,"['horror', 'thriller', 'drama', 'romance']"
7.3,"['drama', 'family', 'fantasy', 'comedy']"
5.2,"['drama', 'romance', 'comedy']"
3.5,"['drama', 'comedy', 'romance']"
7.0,"['documentation', 'music', 'drama']"
5.6,"['drama', 'comedy']"
6.4,"['drama', 'european']"
4.8,"['drama', 'music', 'romance', 'comedy']"
6.5,"['comedy', 'documentation']"
2.9,"['horror', 'thriller', 'drama']"
6.7,"['drama', 'european']"
4.8,"['drama', 'family', 'comedy']"
5.6,"['romance', 'comedy']"
6.5,"['drama', 'european', 'family', 'war']"
6.4,"['romance', 'drama']"
6.4,['war']
6.3,"['documentation', 'drama', 'thriller']"
7.1,"['crime', 'action', 'history']"
7.4,['drama']
7.3,['comedy']
5.9,"['documentation', 'crime']"
6.3,"['comedy', 'action', 'romance']"
9.6,['reality']
,['documentation']
5.6,"['comedy', 'drama']"
,"['drama', 'comedy']"
7.7,"['drama', 'family']"
6.6,"['drama', 'romance', 'comedy']"
7.6,"['action', 'comedy', 'sport', 'crime']"
4.3,"['romance', 'drama', 'comedy', 'sport']"
8.4,"['comedy', 'drama']"
5.5,"['romance', 'comedy', 'drama']"
6.7,['comedy']
4.8,"['comedy', 'drama', 'romance']"
7.4,['drama']
5.2,"['comedy', 'thriller']"
6.8,"['drama', 'romance', 'comedy']"
